"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",1,2,1,0,0,0,0,0,1,0,0,1,3000,0
"2",1,2,2,0,0,0,1,0,0,0,1,1,1800,0
"3",1,2,3,1,1,0,0,1,0,0,0,0,4800,0
"4",1,2,4,0,0,0,0,0,0,0,0,0,0,1
"5",1,3,1,0,0,0,0,0,0,1,0,0,1200,0
"6",1,3,2,1,1,0,1,0,0,0,1,0,3000,0
"7",1,3,3,0,1,1,0,0,1,0,0,1,2400,0
"8",1,3,4,0,0,0,0,0,0,0,0,0,0,1
"9",1,4,1,0,1,0,0,0,1,0,0,0,1800,0
"10",1,4,2,0,0,1,0,0,0,0,0,1,3000,0
"11",1,4,3,0,0,0,0,1,0,1,0,1,4800,0
"12",1,4,4,1,0,0,0,0,0,0,0,0,0,1
"13",1,5,1,0,0,1,0,0,0,0,1,0,4800,0
"14",1,5,2,1,1,0,1,0,0,1,0,1,2400,0
"15",1,5,3,0,0,0,0,1,1,0,0,0,1200,0
"16",1,5,4,0,0,0,0,0,0,0,0,0,0,1
"17",1,6,1,0,1,0,0,0,0,0,0,1,4800,0
"18",1,6,2,1,1,0,1,0,1,0,0,1,1200,0
"19",1,6,3,0,0,0,0,1,0,0,1,0,2400,0
"20",1,6,4,0,0,0,0,0,0,0,0,0,0,1
"21",1,8,1,1,1,0,0,1,0,0,0,1,3000,0
"22",1,8,2,0,1,0,0,0,0,0,1,1,2400,0
"23",1,8,3,0,0,1,0,0,0,1,0,0,1200,0
"24",1,8,4,0,0,0,0,0,0,0,0,0,0,1
"25",1,9,1,0,1,1,0,0,1,0,0,1,4800,0
"26",1,9,2,0,0,0,0,1,0,1,0,1,1800,0
"27",1,9,3,1,1,0,1,0,0,0,0,0,1200,0
"28",1,9,4,0,0,0,0,0,0,0,0,0,0,1
"29",1,10,1,1,1,0,1,0,0,1,0,1,3000,0
"30",1,10,2,0,0,0,0,0,0,0,1,0,1800,0
"31",1,10,3,0,0,0,0,1,1,0,0,0,2400,0
"32",1,10,4,0,0,0,0,0,0,0,0,0,0,1
"33",1,11,1,0,0,0,0,0,0,0,0,1,1200,0
"34",1,11,2,0,1,1,0,0,0,0,1,0,3000,0
"35",1,11,3,1,1,0,0,1,1,0,0,0,1800,0
"36",1,11,4,0,0,0,0,0,0,0,0,0,0,1
"37",1,12,1,0,1,1,0,0,0,0,0,0,2400,0
"38",1,12,2,0,0,0,0,0,0,1,0,1,3000,0
"39",1,12,3,1,0,0,1,0,0,0,1,1,4800,0
"40",1,12,4,0,0,0,0,0,0,0,0,0,0,1
"41",2,1,1,1,1,0,0,1,0,0,1,1,1200,0
"42",2,1,2,0,1,0,0,0,0,1,0,0,4800,0
"43",2,1,3,0,0,1,0,0,1,0,0,1,2400,0
"44",2,1,4,0,0,0,0,0,0,0,0,0,0,1
"45",2,2,1,0,0,1,0,0,1,0,0,0,3000,0
"46",2,2,2,1,0,0,1,0,0,0,0,0,1800,0
"47",2,2,3,0,1,0,0,1,0,1,0,1,2400,0
"48",2,2,4,0,0,0,0,0,0,0,0,0,0,1
"49",2,4,1,0,0,0,0,1,0,0,0,1,3000,0
"50",2,4,2,0,0,0,1,0,1,0,0,1,4800,0
"51",2,4,3,0,1,0,0,0,0,0,1,0,2400,0
"52",2,4,4,1,0,0,0,0,0,0,0,0,0,1
"53",2,5,1,0,0,0,0,1,0,1,0,0,3000,0
"54",2,5,2,1,0,1,0,0,0,0,1,1,1200,0
"55",2,5,3,0,1,0,1,0,1,0,0,0,1800,0
"56",2,5,4,0,0,0,0,0,0,0,0,0,0,1
"57",2,6,1,0,0,0,0,1,0,0,1,0,4800,0
"58",2,6,2,0,1,1,0,0,0,1,0,1,1800,0
"59",2,6,3,1,1,0,0,0,0,0,0,1,1200,0
"60",2,6,4,0,0,0,0,0,0,0,0,0,0,1
"61",2,7,1,0,1,0,1,0,1,0,0,1,3000,0
"62",2,7,2,1,1,1,0,0,0,0,1,0,1200,0
"63",2,7,3,0,0,0,0,0,0,0,0,0,2400,0
"64",2,7,4,0,0,0,0,0,0,0,0,0,0,1
"65",2,8,1,0,0,0,0,0,1,0,0,1,4800,0
"66",2,8,2,1,1,0,0,1,0,0,0,0,1800,0
"67",2,8,3,0,0,0,1,0,0,1,0,1,2400,0
"68",2,8,4,0,0,0,0,0,0,0,0,0,0,1
"69",2,9,1,0,0,0,0,0,0,0,1,0,3000,0
"70",2,9,2,0,1,0,0,1,0,0,0,1,4800,0
"71",2,9,3,1,1,0,1,0,0,1,0,0,1200,0
"72",2,9,4,0,0,0,0,0,0,0,0,0,0,1
"73",2,11,1,1,0,0,1,0,0,0,1,1,1800,0
"74",2,11,2,0,1,0,0,0,1,0,0,0,4800,0
