"Version (0 = Fixed Task)","Task","Concept","Input Planning Assistance:","Advertising:","Proximity to data points:","Mobile App Availability:","Price"
0,1,1,1,2,2,2,3
0,1,2,2,4,3,1,2
0,1,3,1,1,4,2,1
0,2,1,2,2,3,1,4
0,2,2,1,4,4,1,2
0,2,3,2,2,1,2,5
1,1,1,2,2,3,1,2
1,1,2,2,4,4,2,1
1,1,3,1,3,1,1,3
1,2,1,1,1,2,2,4
1,2,2,1,3,4,2,2
1,2,3,2,4,1,1,5
1,3,1,1,1,3,1,1
1,3,2,2,3,4,1,4
1,3,3,2,2,2,2,3
1,4,1,2,1,2,1,2
1,4,2,1,2,1,2,4
1,4,3,1,4,3,2,5
1,5,1,1,2,4,1,5
1,5,2,2,3,3,2,3
1,5,3,1,4,2,1,1
1,6,1,2,1,1,2,5
1,6,2,2,3,2,2,1
1,6,3,1,4,4,1,3
1,7,1,1,3,2,1,5
1,7,2,1,2,1,2,2
1,7,3,2,1,3,1,4
1,8,1,2,4,1,2,4
1,8,2,2,1,4,2,3
1,8,3,1,2,3,1,1
1,9,1,2,2,2,2,5
1,9,2,1,4,3,2,2
1,9,3,2,3,1,1,1
1,10,1,2,3,3,2,4
1,10,2,1,1,4,1,2
1,10,3,1,4,2,1,3
1,11,1,1,1,1,2,1
1,11,2,2,2,4,1,4
1,11,3,2,4,2,1,2
1,12,1,2,2,1,1,3
1,12,2,1,1,3,2,4
1,12,3,1,3,4,2,5
2,1,1,2,4,4,2,1
2,1,2,2,1,3,1,5
2,1,3,1,2,2,2,3
2,2,1,1,2,2,1,4
2,2,2,1,3,1,1,2
2,2,3,2,4,3,2,3
2,3,1,2,2,3,1,5
2,3,2,1,3,1,1,1
2,3,3,2,1,4,2,2
2,4,1,1,4,1,2,4
2,4,2,1,3,2,2,5
2,4,3,2,1,4,1,3
2,5,1,1,4,3,1,4
2,5,2,1,2,4,2,1
2,5,3,2,3,2,1,2
2,6,1,1,4,4,1,5
2,6,2,2,2,3,2,2
2,6,3,2,1,1,2,1
2,7,1,2,3,2,2,4
2,7,2,2,2,4,1,1
2,7,3,1,1,1,1,3
2,8,1,1,1,2,2,5
2,8,2,2,4,1,1,2
2,8,3,1,3,3,2,3
2,9,1,1,1,4,1,4
2,9,2,2,4,1,2,5
2,9,3,2,3,3,1,1
2,10,1,2,3,4,1,3
2,10,2,1,4,3,2,1
2,10,3,1,2,2,2,2
2,11,1,1,3,4,2,2
2,11,2,2,1,2,1,5
2,11,3,1,2,1,2,3
2,12,1,2,2,1,1,5
2,12,2,2,4,2,1,4
2,12,3,1,1,3,2,3
3,1,1,1,2,3,1,2
3,1,2,2,1,2,2,1
3,1,3,2,3,1,2,4
3,2,1,2,3,3,2,5
3,2,2,1,4,4,1,4
3,2,3,1,1,1,1,1
3,3,1,1,2,2,1,3
3,3,2,1,3,3,1,5
3,3,3,2,4,4,2,2
3,4,1,2,4,2,2,3
3,4,2,1,1,1,1,2
3,4,3,2,2,4,2,1
3,5,1,1,4,2,1,1
3,5,2,1,1,4,2,5
3,5,3,2,2,3,1,4
3,6,1,1,4,3,1,3
3,6,2,2,3,1,2,2
3,6,3,2,1,2,2,4
3,7,1,2,3,4,1,3
3,7,2,1,2,1,2,4
3,7,3,2,1,3,1,2
3,8,1,2,4,1,1,1
3,8,2,1,2,4,2,5
3,8,3,1,3,2,2,2
3,9,1,2,1,2,1,3
3,9,2,2,2,3,2,1
3,9,3,1,3,4,1,4
3,10,1,2,2,4,1,4
3,10,2,1,4,1,2,5
3,10,3,1,1,3,2,1
3,11,1,2,1,4,2,3
3,11,2,1,4,2,2,2
3,11,3,2,3,1,1,5
3,12,1,1,3,2,1,1
3,12,2,1,2,3,1,5
3,12,3,2,4,1,2,3
4,1,1,1,3,4,2,4
4,1,2,1,1,1,1,3
4,1,3,2,4,3,1,2
4,2,1,2,2,2,2,1
4,2,2,2,4,4,2,5
4,2,3,1,1,1,1,2
4,3,1,1,3,3,2,4
4,3,2,1,4,4,1,1
4,3,3,2,2,2,1,5
4,4,1,1,3,2,1,3
4,4,2,2,1,3,2,4
4,4,3,2,2,1,2,2
4,5,1,2,4,2,1,4
4,5,2,2,3,3,1,1
4,5,3,1,2,4,2,3
4,6,1,1,4,3,2,3
4,6,2,1,1,1,2,5
4,6,3,2,3,4,1,2
4,7,1,2,1,2,2,2
4,7,2,1,2,1,1,4
4,7,3,2,3,3,2,5
4,8,1,1,1,4,1,1
4,8,2,2,2,1,2,3
4,8,3,1,4,2,1,5
4,9,1,1,3,2,2,1
4,9,2,1,2,3,1,2
4,9,3,2,1,1,1,4
4,10,1,2,2,2,2,1
4,10,2,1,3,1,1,3
4,10,3,2,4,4,2,2
4,11,1,1,4,3,2,4
4,11,2,1,3,1,2,2
4,11,3,2,1,4,1,5
4,12,1,2,2,4,1,1
4,12,2,2,4,3,1,3
4,12,3,1,1,2,2,4
5,1,1,2,4,1,1,4
5,1,2,2,3,3,2,3
5,1,3,1,2,4,2,5
5,2,1,1,2,3,1,5
5,2,2,2,4,1,2,1
5,2,3,1,1,2,1,2
5,3,1,1,4,3,1,2
5,3,2,1,1,4,2,1
5,3,3,2,3,2,1,5
5,4,1,2,1,4,2,3
5,4,2,2,3,1,2,5
5,4,3,1,2,2,1,4
5,5,1,2,2,2,1,3
5,5,2,1,4,4,2,2
5,5,3,2,1,3,1,1
5,6,1,2,4,4,1,5
5,6,2,1,3,1,2,4
5,6,3,1,1,3,2,3
5,7,1,2,1,4,1,4
5,7,2,1,3,1,1,1
5,7,3,2,2,2,2,2
5,8,1,2,2,1,1,2
5,8,2,1,3,3,2,1
5,8,3,1,4,2,2,5
5,9,1,2,2,3,2,4
5,9,2,1,3,4,1,3
5,9,3,2,1,1,2,5
5,10,1,1,2,1,1,1
5,10,2,2,3,4,2,2
5,10,3,1,4,2,1,4
5,11,1,1,2,4,2,4
5,11,2,1,1,3,1,5
5,11,3,2,4,2,2,3
5,12,1,2,3,2,1,1
5,12,2,1,4,1,2,3
5,12,3,2,1,3,1,2
6,1,1,2,4,1,1,4
6,1,2,1,2,4,1,3
6,1,3,1,1,2,2,2
6,2,1,1,4,4,1,5
6,2,2,2,3,3,2,1
6,2,3,2,2,1,2,3
6,3,1,2,3,2,1,4
6,3,2,2,4,4,2,1
6,3,3,1,1,3,2,5
6,4,1,1,2,3,1,3
6,4,2,1,3,1,1,2
6,4,3,2,1,2,2,4
6,5,1,2,1,1,1,5
6,5,2,2,4,3,1,2
6,5,3,1,2,2,2,1
6,6,1,2,1,2,1,3
6,6,2,1,4,1,2,1
6,6,3,1,3,4,2,4
6,7,1,2,2,3,2,5
6,7,2,1,1,2,1,1
6,7,3,1,3,4,1,2
6,8,1,2,2,4,2,2
6,8,2,2,3,1,2,3
6,8,3,1,4,3,1,4
6,9,1,2,3,4,1,5
6,9,2,1,4,2,2,3
6,9,3,1,1,1,2,2
6,10,1,2,2,3,1,1
6,10,2,2,4,1,1,4
6,10,3,1,3,2,2,5
6,11,1,2,3,2,1,2
6,11,2,2,1,4,2,4
6,11,3,1,2,3,1,3
6,12,1,1,2,1,2,5
6,12,2,1,4,3,2,2
6,12,3,2,1,4,1,1
7,1,1,1,1,1,1,3
7,1,2,2,3,3,2,4
7,1,3,2,4,2,1,5
7,2,1,1,2,4,2,1
7,2,2,1,1,2,2,4
7,2,3,2,3,3,1,3
7,3,1,2,4,1,2,1
7,3,2,2,1,3,2,5
7,3,3,1,2,4,1,2
7,4,1,1,2,1,1,4
7,4,2,2,4,4,2,3
7,4,3,1,3,2,1,1
7,5,1,2,2,2,2,2
7,5,2,1,4,4,1,5
7,5,3,1,3,3,2,4
7,6,1,1,4,3,2,1
7,6,2,2,1,1,1,2
7,6,3,2,2,2,1,5
7,7,1,2,3,1,2,5
7,7,2,2,4,3,1,1
7,7,3,1,1,4,1,3
7,8,1,1,1,1,2,2
7,8,2,2,2,4,1,4
7,8,3,1,3,2,2,3
7,9,1,2,2,3,2,3
7,9,2,1,3,1,1,5
7,9,3,2,4,2,2,2
7,10,1,1,3,3,1,2
7,10,2,2,2,1,2,4
7,10,3,1,1,4,1,1
7,11,1,1,4,2,1,4
7,11,2,2,3,1,1,1
7,11,3,2,1,4,2,5
7,12,1,1,4,4,2,3
7,12,2,2,1,3,1,4
7,12,3,1,2,2,2,1
8,1,1,2,4,2,1,3
8,1,2,2,3,4,2,2
8,1,3,1,2,1,1,5
8,2,1,1,1,3,2,5
8,2,2,1,4,1,2,4
8,2,3,2,3,4,1,3
8,3,1,1,3,4,2,4
8,3,2,2,1,2,2,1
8,3,3,1,2,3,1,2
8,4,1,1,2,2,2,5
8,4,2,2,1,3,1,3
8,4,3,2,4,1,1,2
8,5,1,2,4,3,2,5
8,5,2,2,2,4,1,4
8,5,3,1,1,1,1,1
8,6,1,1,3,2,2,3
8,6,2,1,4,4,2,2
8,6,3,2,2,1,1,1
8,7,1,2,2,1,2,3
8,7,2,2,3,3,2,1
8,7,3,1,1,2,1,4
8,8,1,1,4,3,1,1
8,8,2,2,1,2,2,2
8,8,3,1,3,4,1,5
8,9,1,1,2,3,2,2
8,9,2,2,4,2,1,5
8,9,3,1,1,1,1,3
8,10,1,2,3,4,2,4
8,10,2,1,2,2,1,2
8,10,3,2,4,1,2,1
8,11,1,1,1,3,2,4
8,11,2,2,2,1,2,5
8,11,3,2,3,4,1,3
8,12,1,2,1,4,2,1
8,12,2,1,3,3,1,5
8,12,3,1,4,2,1,4
9,1,1,1,1,1,2,3
9,1,2,2,3,3,1,2
9,1,3,1,2,4,2,1
9,2,1,1,3,1,2,2
9,2,2,2,2,3,1,4
9,2,3,2,4,2,1,5
9,3,1,2,1,2,2,5
9,3,2,1,4,4,1,3
9,3,3,1,3,1,1,1
9,4,1,2,2,2,2,4
9,4,2,2,4,3,2,3
9,4,3,1,1,4,1,2
9,5,1,1,4,4,2,5
9,5,2,2,1,1,1,4
9,5,3,1,3,2,2,1
9,6,1,2,2,3,1,2
9,6,2,2,3,2,1,1
9,6,3,1,4,1,2,3
9,7,1,1,2,3,1,5
9,7,2,2,1,4,2,2
9,7,3,2,3,1,2,4
9,8,1,2,4,3,2,1
9,8,2,1,2,4,1,4
9,8,3,1,1,2,1,3
9,9,1,1,1,3,2,5
9,9,2,2,4,1,1,2
9,9,3,2,2,4,2,3
9,10,1,1,2,1,1,1
9,10,2,1,3,2,1,3
9,10,3,2,1,3,2,4
9,11,1,2,3,4,1,5
9,11,2,1,4,2,2,2
9,11,3,2,1,3,1,3
9,12,1,2,4,4,1,1
9,12,2,1,3,1,2,4
9,12,3,1,2,2,2,2
10,1,1,2,1,2,1,5
10,1,2,1,3,3,2,4
10,1,3,2,2,1,2,3
10,2,1,2,3,2,2,2
10,2,2,1,1,3,1,1
10,2,3,1,4,4,1,5
10,3,1,1,2,4,2,1
10,3,2,2,3,2,1,3
10,3,3,2,4,1,1,4
10,4,1,1,4,3,2,3
10,4,2,2,2,4,1,2
10,4,3,1,1,1,2,5
10,5,1,2,2,2,2,1
10,5,2,1,1,1,1,2
10,5,3,2,3,4,2,5
10,6,1,1,4,3,1,4
10,6,2,1,2,2,1,5
10,6,3,2,1,4,2,1
10,7,1,1,1,4,1,4
10,7,2,2,4,1,1,2
10,7,3,1,3,3,2,3
10,8,1,2,2,3,2,5
10,8,2,2,4,2,2,4
10,8,3,1,3,1,1,1
10,9,1,2,2,1,1,3
10,9,2,2,3,3,1,1
10,9,3,1,4,4,2,2
10,10,1,1,1,2,2,3
10,10,2,2,3,3,1,2
10,10,3,1,2,1,2,5
10,11,1,2,1,2,1,4
10,11,2,1,4,4,2,1
10,11,3,2,3,1,2,5
10,12,1,1,2,2,1,3
10,12,2,1,4,4,1,4
10,12,3,2,1,3,2,2
11,1,1,1,2,3,2,4
11,1,2,2,1,4,2,3
11,1,3,2,4,1,1,5
11,2,1,2,4,1,2,1
11,2,2,1,3,2,1,2
11,2,3,1,1,3,1,5
11,3,1,1,3,2,2,4
11,3,2,1,1,1,2,2
11,3,3,2,2,4,1,3
11,4,1,2,2,3,1,4
11,4,2,1,3,4,2,5
11,4,3,2,4,2,1,1
11,5,1,1,2,4,1,2
11,5,2,2,4,3,2,3
11,5,3,1,1,1,1,1
11,6,1,2,3,2,2,4
11,6,2,2,1,4,2,2
11,6,3,1,4,3,1,5
11,7,1,1,4,3,2,2
11,7,2,1,2,2,2,1
11,7,3,2,3,1,1,3
11,8,1,2,1,2,1,5
11,8,2,2,3,4,1,4
11,8,3,1,2,1,2,3
11,9,1,1,3,3,1,1
11,9,2,1,4,4,1,3
11,9,3,2,2,2,2,5
11,10,1,2,1,1,2,1
11,10,2,1,4,2,1,2
11,10,3,2,2,4,2,4
11,11,1,2,3,3,2,2
11,11,2,2,2,4,1,1
11,11,3,1,1,1,1,4
11,12,1,2,1,2,1,3
11,12,2,1,3,1,2,5
11,12,3,1,4,3,2,1
12,1,1,1,3,3,1,3
12,1,2,2,4,1,2,4
12,1,3,1,1,4,2,5
12,2,1,2,4,1,1,5
12,2,2,1,3,4,2,3
12,2,3,2,2,2,1,2
12,3,1,2,1,3,2,1
12,3,2,1,3,1,1,2
12,3,3,1,2,2,1,4
12,4,1,2,2,3,2,2
12,4,2,2,4,2,2,3
12,4,3,1,1,4,1,1
12,5,1,2,3,4,1,5
12,5,2,1,1,2,2,1
12,5,3,1,2,1,2,4
12,6,1,1,3,2,2,5
12,6,2,2,4,3,1,4
