sys_RespNum,Version,Q23_Fixed1,Q23_Fixed1_none,Q23_Fixed2,Q23_Fixed2_none,Q23_Random1,Q23_Random1_none,Q23_Random2,Q23_Random2_none,Q23_Random3,Q23_Random3_none,Q23_Random4,Q23_Random4_none,Q23_Random5,Q23_Random5_none,Q23_Random6,Q23_Random6_none,Q23_Random7,Q23_Random7_none,Q23_Random8,Q23_Random8_none,Q23_Random9,Q23_Random9_none,Q23_Random10,Q23_Random10_none,Q23_Random11,Q23_Random11_none,Q23_Random12,Q23_Random12_none
1,1,2,1,2,1,3,1,3,1,2,1,3,2,2,1,2,1,1,1,1,1,3,1,1,1,3,1,3,1
2,2,3,1,2,1,1,1,2,1,2,1,3,2,2,1,3,1,2,1,2,1,3,1,2,1,1,1,2,2
3,3,3,2,2,2,2,2,3,2,3,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,2,2,1,2
4,4,3,2,2,2,3,2,3,2,3,2,3,2,3,2,3,2,2,2,1,2,1,2,1,2,2,2,1,2
5,5,3,2,2,2,1,2,2,2,2,2,1,2,3,2,3,2,1,2,3,2,3,2,3,2,2,2,3,2
8,8,3,2,1,2,2,1,3,2,3,2,3,2,3,2,3,2,2,2,1,2,1,2,2,2,3,2,1,2
11,11,3,2,1,2,2,2,3,2,2,2,1,2,3,2,2,2,2,2,3,2,3,2,1,2,2,2,1,2
12,12,3,2,2,2,3,2,3,2,1,2,3,2,2,2,3,2,1,2,3,2,3,2,2,2,3,2,3,2
13,13,2,2,2,2,3,2,2,2,2,2,1,2,3,2,1,2,1,2,2,2,1,2,1,2,1,2,2,2
14,14,3,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,3,1,1,1,1,1,1,1,1,1,3,1
15,15,2,2,2,2,2,2,2,2,2,2,1,2,3,2,2,2,1,2,2,2,2,2,1,2,2,2,3,2
16,16,1,2,3,2,1,2,1,2,2,2,3,2,2,2,2,2,3,2,1,2,2,2,3,2,2,2,2,2
17,17,2,1,3,1,1,1,1,1,3,1,2,1,3,1,1,1,1,1,1,1,3,1,2,1,2,1,3,1
19,19,3,2,2,1,3,2,3,2,1,2,2,2,3,1,3,2,3,2,2,1,3,2,3,2,1,2,2,2
20,20,1,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,2,2
22,22,3,2,2,2,2,2,2,2,3,2,1,2,2,2,3,2,3,2,2,2,3,2,2,2,1,2,2,2
23,23,1,2,3,2,1,2,1,2,3,2,3,2,1,2,2,2,3,2,1,2,1,2,2,2,1,2,3,2
24,24,3,2,2,2,3,1,1,1,1,1,3,2,1,2,3,2,3,2,3,2,2,2,1,2,1,2,3,2
26,26,1,2,3,2,2,2,1,2,1,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,3,2,1,2
28,28,3,2,2,2,2,2,1,2,1,2,1,2,3,2,2,2,3,2,2,2,2,2,2,2,1,2,1,2
29,29,2,2,2,2,3,2,1,2,1,2,1,2,2,2,1,2,3,2,1,2,1,2,3,2,3,2,3,2
30,30,3,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,1,2
31,31,2,2,3,2,3,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,3,2,2,2
32,32,2,1,3,2,1,1,2,2,2,1,2,1,3,1,3,1,1,2,3,2,3,2,1,1,3,1,1,2
33,33,1,2,1,2,2,2,3,2,1,2,3,2,2,2,1,2,2,2,3,2,3,2,3,2,2,2,2,2
37,37,2,1,3,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,3,1,3,1,3,1
39,39,3,2,2,2,3,2,2,2,3,2,1,2,3,2,2,2,2,2,3,2,3,2,2,2,3,2,2,2
40,40,1,2,3,2,1,2,2,2,3,2,3,2,1,2,3,2,3,2,3,2,3,2,2,2,3,2,2,2
41,41,3,2,2,2,3,2,1,2,3,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,3,2,3,2
