xsurvnum,version,scenario,y1,brand_1,brand_2,brand_3,brand_4,pixels_2,zoom_2,video_2,swivel_2,wifi_2,price_lin
13766784,10,1,1,0,0,1,0,0,1,0,1,0,4.369447852
13766784,10,1,0,1,0,0,0,1,1,0,1,1,5.433722004
13766784,10,1,0,0,0,0,1,0,0,0,0,1,4.859812404
13766784,10,1,0,0,1,0,0,0,1,0,1,0,5.631211782
13766784,10,1,0,0,0,0,0,0,0,0,0,0,0
13766784,10,2,0,0,0,0,1,1,0,0,1,0,5.631211782
13766784,10,2,1,1,0,0,0,1,0,1,0,1,4.369447852
13766784,10,2,0,0,1,0,0,1,0,1,0,1,5.187385806
13766784,10,2,0,0,0,1,0,1,0,1,1,1,4.859812404
13766784,10,2,0,0,0,0,0,0,0,0,0,0,0
13766784,10,3,0,0,0,1,0,0,0,0,0,1,5.433722004
13766784,10,3,1,1,0,0,0,1,1,0,1,1,4.369447852
13766784,10,3,0,0,1,0,0,1,0,0,1,1,5.187385806
13766784,10,3,0,0,1,0,0,1,1,1,0,1,4.859812404
13766784,10,3,0,0,0,0,0,0,0,0,0,0,0
13766784,10,4,0,0,0,1,0,1,1,0,1,1,5.187385806
13766784,10,4,0,0,1,0,0,0,0,1,0,0,5.631211782
13766784,10,4,0,0,0,0,1,0,1,0,1,0,5.433722004
13766784,10,4,1,0,0,0,1,0,0,1,1,1,4.859812404
13766784,10,4,0,0,0,0,0,0,0,0,0,0,0
13766784,10,5,0,1,0,0,0,0,1,0,0,1,5.187385806
13766784,10,5,1,1,0,0,0,0,0,1,1,0,4.369447852
13766784,10,5,0,0,1,0,0,1,1,0,0,0,4.859812404
13766784,10,5,0,0,0,0,1,1,1,0,1,0,5.433722004
13766784,10,5,0,0,0,0,0,0,0,0,0,0,0
13766784,10,6,0,0,0,0,1,0,1,1,0,1,5.631211782
13766784,10,6,1,0,0,1,0,1,0,1,0,1,5.187385806
13766784,10,6,0,1,0,0,0,0,1,1,0,0,4.859812404
13766784,10,6,0,0,1,0,0,1,1,1,1,1,5.433722004
13766784,10,6,0,0,0,0,0,0,0,0,0,0,0
13766784,10,7,1,0,0,0,1,1,0,0,1,1,4.369447852
13766784,10,7,0,0,0,1,0,0,0,1,1,0,5.187385806
13766784,10,7,0,1,0,0,0,1,0,1,1,0,5.631211782
13766784,10,7,0,0,1,0,0,1,1,0,1,0,5.433722004
13766784,10,7,0,0,0,0,0,0,0,0,0,0,0
13766784,10,8,1,0,0,0,1,1,0,1,1,1,5.187385806
13766784,10,8,0,0,1,0,0,0,1,0,0,0,5.433722004
13766784,10,8,0,0,0,1,0,0,0,1,0,0,4.859812404
13766784,10,8,0,0,0,1,0,0,1,0,1,1,5.631211782
13766784,10,8,0,0,0,0,0,0,0,0,0,0,0
13766784,10,9,1,0,1,0,0,0,0,1,1,1,4.369447852
13766784,10,9,0,1,0,0,0,0,1,0,0,1,5.631211782
13766784,10,9,0,0,0,1,0,0,1,0,1,1,4.859812404
13766784,10,9,0,0,0,0,1,0,1,0,0,1,5.187385806
13766784,10,9,0,0,0,0,0,0,0,0,0,0,0
13766784,10,10,0,1,0,0,0,0,1,0,1,0,5.187385806
13766784,10,10,1,0,0,1,0,0,0,1,0,1,4.369447852
13766784,10,10,0,0,0,0,1,1,1,0,0,1,5.433722004
13766784,10,10,0,0,1,0,0,0,0,0,1,0,4.859812404
13766784,10,10,0,0,0,0,0,0,0,0,0,0,0
13766784,10,11,0,0,0,1,0,1,0,1,0,0,5.631211782
13766784,10,11,0,1,0,0,0,1,1,1,0,1,5.433722004
13766784,10,11,1,0,0,0,1,1,1,0,0,1,4.369447852
13766784,10,11,0,0,0,0,1,1,0,1,1,0,5.187385806
13766784,10,11,0,0,0,0,0,0,0,0,0,0,0
13766784,10,12,0,1,0,0,0,0,1,0,1,0,4.369447852
13766784,10,12,1,0,0,0,1,1,1,0,1,0,4.859812404
13766784,10,12,0,0,0,1,0,1,0,1,0,0,5.631211782
13766784,10,12,0,0,1,0,0,1,1,1,0,0,5.187385806
13766784,10,12,0,0,0,0,0,0,0,0,0,0,0
13766784,10,13,1,0,0,0,1,0,1,1,1,1,4.369447852
13766784,10,13,0,1,0,0,0,1,1,1,0,1,5.631211782
13766784,10,13,0,0,0,1,0,0,1,1,1,1,5.187385806
13766784,10,13,0,0,1,0,0,0,0,1,0,0,5.433722004
13766784,10,13,0,0,0,0,0,0,0,0,0,0,0
13766784,10,14,0,0,0,1,0,0,0,1,0,0,4.859812404
13766784,10,14,1,0,1,0,0,0,1,0,0,0,4.369447852
13766784,10,14,0,0,0,0,1,1,1,0,1,0,5.433722004
13766784,10,14,0,1,0,0,0,0,0,1,0,0,5.631211782
13766784,10,14,0,0,0,0,0,0,0,0,0,0,0
13766784,10,15,0,1,0,0,0,1,0,0,0,1,4.859812404
13766784,10,15,0,0,0,0,1,1,0,1,0,1,5.433722004
13766784,10,15,1,0,0,1,0,1,0,1,1,0,4.369447852
13766784,10,15,0,0,1,0,0,0,0,1,0,0,5.631211782
13766784,10,15,0,0,0,0,0,0,0,0,0,0,0
13766784,10,16,1,0,1,0,0,1,1,0,0,0,4.859812404
13766784,10,16,0,0,0,1,0,0,0,1,0,1,5.631211782
13766784,10,16,0,0,0,0,1,1,0,0,1,0,5.187385806
13766784,10,16,0,1,0,0,0,0,0,0,1,0,5.433722004
13766784,10,16,0,0,0,0,0,0,0,0,0,0,0
13767046,2,1,0,1,0,0,0,1,1,1,0,1,4.369447852
13767046,2,1,0,0,0,0,1,1,0,0,1,1,5.187385806
13767046,2,1,1,0,1,0,0,1,1,0,0,0,5.433722004
13767046,2,1,0,0,0,1,0,1,0,1,1,1,4.859812404
13767046,2,1,0,0,0,0,0,0,0,0,0,0,0
13767046,2,2,0,0,0,1,0,0,1,0,1,1,5.631211782
13767046,2,2,0,0,0,1,0,1,0,1,0,0,5.433722004
13767046,2,2,0,0,1,0,0,0,1,0,1,0,5.187385806
13767046,2,2,0,0,0,0,1,0,1,1,0,0,4.859812404
13767046,2,2,1,0,0,0,0,0,0,0,0,0,0
13767046,2,2.1,0,0,0,1,0,0,1,0,1,1,5.631211782
13767046,2,2.1,1,0,0,1,0,1,0,1,0,0,5.433722004
13767046,2,2.1,0,0,1,0,0,0,1,0,1,0,5.187385806
13767046,2,2.1,0,0,0,0,1,0,1,1,0,0,4.859812404
13767046,2,3,0,0,0,1,0,1,0,1,0,1,5.187385806
13767046,2,3,0,0,0,1,0,0,1,0,1,0,5.433722004
13767046,2,3,0,0,0,0,1,0,0,1,1,0,5.631211782
13767046,2,3,0,1,0,0,0,1,0,0,0,0,4.859812404
13767046,2,3,1,0,0,0,0,0,0,0,0,0,0
13767046,2,3.1,1,0,0,1,0,1,0,1,0,1,5.187385806
13767046,2,3.1,0,0,0,1,0,0,1,0,1,0,5.433722004
13767046,2,3.1,0,0,0,0,1,0,0,1,1,0,5.631211782
