"respnum";"probit";"logit";"agree";"probinside";"howmany";"pm_outhit_logit";"pm_outhit_probit";"type_observed";"probit_max";"logit_max"
"1";0;0.002;TRUE;1;4;0.7895;0.769;"In";"Info rich";"Info rich"
"2";0.021;0.439;TRUE;0.714285714285714;5;0.2395;0.485;"Mix";"Info rich";"Info rich"
"3";0;0.001;TRUE;1;4;0.4905;0.451;"In";"Info rich";"Info rich"
"4";0.824;0.735;TRUE;1;3;0.224;0.2505;"In";"Info poor";"Info poor"
"5";0.087;0.152;TRUE;1;3;0.1215;0.1575;"In";"Info rich";"Info rich"
"6";0.015;0.012;TRUE;1;3;0.422;0.4335;"In";"Info rich";"Info rich"
"7";0;0.001;TRUE;1;4;0.55;0.5095;"In";"Info rich";"Info rich"
"8";0;0;TRUE;1;4;0.859;0.8385;"In";"Info rich";"Info rich"
"9";0.192;0.714;FALSE;0.642857142857143;4;0.4505;0.514;"Mix";"Info rich";"Info poor"
"10";0.893;0.929;TRUE;1;3;0.29;0.2515;"In";"Info poor";"Info poor"
"11";0;0;TRUE;1;4;0.918;0.8665;"In";"Info rich";"Info rich"
"12";0;0.002;TRUE;1;4;0.851;0.772;"In";"Info rich";"Info rich"
"13";0.98;1;TRUE;0.714285714285714;4;0.2085;0.2585;"Mix";"Info poor";"Info poor"
"14";0;0;TRUE;1;4;0.285;0.334;"In";"Info rich";"Info rich"
"15";0;0;TRUE;1;4;0.3025;0.295;"In";"Info rich";"Info rich"
"16";0.035;0;TRUE;1;3;0.1695;0.1215;"In";"Info rich";"Info rich"
"17";0.37;0.278;TRUE;1;4;0.1425;0.1455;"In";"Info rich";"Info rich"
"18";0;0.004;TRUE;0.642857142857143;5;0.254;0.2285;"Mix";"Info rich";"Info rich"
"19";0;0.194;TRUE;0.5;4;0.1815;0.1525;"Mix";"Info rich";"Info rich"
"20";0;0.002;TRUE;0;1;0.9405;0.928;"Out";"Info rich";"Info rich"
"21";0;0.006;TRUE;1;4;0.236;0.29;"In";"Info rich";"Info rich"
"22";0.056;0.415;TRUE;1;4;0.239;0.3015;"In";"Info rich";"Info rich"
"23";0;0;TRUE;1;4;0.653;0.614;"In";"Info rich";"Info rich"
"24";0;0.004;TRUE;1;4;0.879;0.8615;"In";"Info rich";"Info rich"
"25";0;0;TRUE;0;1;0.997;0.988;"Out";"Info rich";"Info rich"
"26";0;0.004;TRUE;1;4;0.942;0.913;"In";"Info rich";"Info rich"
"27";0;0.039;TRUE;0.571428571428571;4;0.5575;0.43;"Mix";"Info rich";"Info rich"
"28";0.089;0.107;TRUE;0.714285714285714;5;0.593;0.517;"Mix";"Info rich";"Info rich"
