"","segMem","outOfSampleHitRates","inSampleHitRates","segLabel"
"1","0","0.76286","0.6891825","Info Rich"
"2","0.05404","0.35746","0.51016","Info Rich"
"3","0.00068","0.83782","0.55928","Info Rich"
"4","0.99296","0.22598","0.1999625","Info Poor"
"5","0.67976","0.29412","0.268975","Info Poor"
"6","0.00244","0.31372","0.5088125","Info Rich"
"7","0.00124","0.64032","0.53602","Info Rich"
"8","0","0.8385","0.776515","Info Rich"
"9","0.38636","0.28678","0.36598","Info Rich"
"10","0.9798","0.22044","0.2098625","Info Poor"
"11","0","0.8628","0.742035","Info Rich"
"12","0.00072","0.60896","0.6209075","Info Rich"
"13","0.99988","0.19628","0.1886525","Info Poor"
"14","6e-04","0.54572","0.54809","Info Rich"
"15","0.00052","0.68276","0.7026225","Info Rich"
"16","0.05268","0.28502","0.48309","Info Rich"
"17","0.9938","0.21856","0.206165","Info Poor"
"18","0.075","0.75708","0.4978625","Info Rich"
"19","0.7066","0.29984","0.29233","Info Poor"
"20","4e-05","0.97664","0.855005","Info Rich"
"21","0.00452","0.1929","0.4705175","Info Rich"
"22","0.00908","0.30606","0.4769275","Info Rich"
"23","0","0.84338","0.725295","Info Rich"
"24","0.00288","0.8158","0.52881","Info Rich"
"25","4e-05","0.94748","0.848045","Info Rich"
"26","0.00144","0.5683","0.625205","Info Rich"
"27","0.1978","0.44026","0.42991","Info Rich"
"28","0.53668","0.39222","0.32503","Info Poor"
"29","0.0022","0.29102","0.53794","Info Rich"
"30","0.43508","0.34582","0.384815","Info Rich"
"31","0.00052","0.93748","0.6445","Info Rich"
"32","0.99288","0.21002","0.2076425","Info Poor"
"33","8e-05","0.98278","0.8486975","Info Rich"
"34","0.48524","0.4755","0.35392","Info Rich"
"35","8e-05","0.9011","0.8541675","Info Rich"
"36","0.05852","0.21304","0.41807","Info Rich"
"37","0.00228","0.90136","0.53955","Info Rich"
"38","0.00824","0.30832","0.440555","Info Rich"
"39","0.00228","0.8644","0.6229075","Info Rich"
"40","0.03736","0.58216","0.48353","Info Rich"
"41","0","0.49916","0.79982","Info Rich"
"42","0.00336","0.3066","0.6473025","Info Rich"
"43","8e-05","0.2818","0.6918575","Info Rich"
"44","0.04732","0.41092","0.462915","Info Rich"
"45","0.98148","0.20634","0.2023875","Info Poor"
"46","0.99496","0.21174","0.2055125","Info Poor"
"47","4e-05","0.51978","0.7472875","Info Rich"
"48","0.00056","0.37488","0.6009225","Info Rich"
"49","0.95516","0.27464","0.2164775","Info Poor"
"50","4e-05","0.1718","0.718415","Info Rich"
"51","0.8696","0.19454","0.2311075","Info Poor"
"52","0.00252","0.17474","0.561775","Info Rich"
"53","0.00116","0.59436","0.5041725","Info Rich"
"54","0.0028","0.40996","0.51634","Info Rich"
"55","0.01816","0.45284","0.5076575","Info Rich"
"56","4e-05","0.5191","0.7054625","Info Rich"
"57","0.02708","0.70138","0.5928","Info Rich"
"58","0.01272","0.38674","0.5508725","Info Rich"
"59","2e-04","0.94884","0.683325","Info Rich"
"60","0.00216","0.48318","0.5344325","Info Rich"
"61","0.00028","0.35054","0.5424975","Info Rich"
"62","0.11548","0.03152","0.4412","Info Rich"
"63","0","0.73486","0.7350075","Info Rich"
"64","0.052","0.80766","0.4426","Info Rich"
"65","0.00016","0.95934","0.693155","Info Rich"
"66","0.00016","0.98712","0.8560375","Info Rich"
"67","4e-05","0.81842","0.7726475","Info Rich"
"68","0","0.90042","0.690805","Info Rich"
"69","2e-04","0.76988","0.6127075","Info Rich"
"70","0","0.8306","0.7243375","Info Rich"
"71","0.86588","0.26428","0.24306","Info Poor"
"72","0.25272","0.60802","0.4055075","Info Rich"
"73","0.27124","0.71712","0.3766725","Info Rich"
"74","0.11432","0.44958","0.46467","Info Rich"
"75","0.23452","0.56894","0.4251975","Info Rich"
"76","0.00032","0.69978","0.6003225","Info Rich"
"77","0.81192","0.2129","0.2388075","Info Poor"
"78","0.85036","0.2601","0.24841","Info Poor"
"79","0.03228","0.18438","0.4968825","Info Rich"
"80","8e-05","0.43338","0.647795","Info Rich"
"81","0.00064","0.07306","0.560135","Info Rich"
"82","4e-05","0.85162","0.689695","Info Rich"
"83","8e-05","0.63866","0.678015","Info Rich"
"84","4e-05","0.80166","0.623225","Info Rich"
"85","0.83888","0.3132","0.2305925","Info Poor"
"86","4e-05","0.52262","0.7539675","Info Rich"
"87","0.00012","0.33226","0.5989425","Info Rich"
"88","0.03132","0.75748","0.52286","Info Rich"
"89","0.18836","0.45622","0.4603775","Info Rich"
"90","0.99856","0.23018","0.199165","Info Poor"
"91","0.87844","0.23386","0.25224","Info Poor"
"92","0.05828","0.07412","0.4078275","Info Rich"
"93","0.02188","0.62012","0.45922","Info Rich"
"94","0.28748","0.62472","0.4081975","Info Rich"
"95","0.00012","0.84404","0.6488375","Info Rich"
"96","0.98292","0.2079","0.208235","Info Poor"
"97","0.95664","0.21896","0.21196","Info Poor"
"98","2e-04","0.40654","0.62514","Info Rich"
"99","0","0.93402","0.799255","Info Rich"
"100","0.15544","0.78784","0.4835375","Info Rich"
"101","0.00552","0.43486","0.5724825","Info Rich"
"102","0.14584","0.20344","0.4491","Info Rich"
"103","0.10512","0.19836","0.4956475","Info Rich"
"104","0.94804","0.20046","0.2273775","Info Poor"
"105","0.00104","0.19846","0.532835","Info Rich"
"106","0.0012","0.78852","0.51565","Info Rich"
"107","0.77936","0.385","0.2692675","Info Poor"
"108","0","0.86204","0.76093","Info Rich"
"109","0.99992","0.21868","0.191595","Info Poor"
"110","0.18528","0.09316","0.433325","Info Rich"
"111","0.00036","0.45248","0.625605","Info Rich"
"112","0","0.58234","0.74664","Info Rich"
"113","0.00052","0.43376","0.593855","Info Rich"
"114","0.79352","0.17322","0.2710525","Info Poor"
"115","0.586","0.35092","0.2950075","Info Poor"
"116","2e-04","0.6185","0.644305","Info Rich"
"117","0","0.5212","0.5901675","Info Rich"
"118","0","0.82402","0.752145","Info Rich"
"119","0.0644","0.48364","0.49539","Info Rich"
"120","0.21304","0.3752","0.3899975","Info Rich"
"121","0.00072","0.95048","0.611055","Info Rich"
"122","0.97872","0.25684","0.213015","Info Poor"
"123","0.99852","0.19194","0.22689","Info Poor"
"124","0.00248","0.25606","0.5177375","Info Rich"
"125","0.00024","0.98542","0.7040525","Info Rich"
"126","0.0108","0.8581","0.52469","Info Rich"
"127","0.00228","0.1196","0.5816025","Info Rich"
"128","0","0.50992","0.719725","Info Rich"
"129","0.55432","0.38022","0.3134525","Info Poor"
"130","0.99972","0.20682","0.1914425","Info Poor"
