version,scenario,concept,brand,pixels,zoom,video,swivel,wifi,price_lin
1,1,1,4,1,2,2,2,2,1.29
1,1,2,3,1,1,2,2,1,1.79
1,1,3,3,2,1,1,1,2,2.79
1,1,4,1,2,1,1,1,2,0.79
1,2,1,1,1,1,2,1,2,1.29
1,2,2,3,1,1,1,1,1,2.29
1,2,3,2,1,1,2,2,1,2.79
1,2,4,4,1,1,1,1,1,1.79
1,3,1,2,2,1,2,2,1,2.79
1,3,2,3,1,2,1,2,1,1.29
1,3,3,1,2,2,1,1,1,2.29
1,3,4,4,1,2,2,2,1,0.79
1,4,1,2,2,2,1,1,1,0.79
1,4,2,4,2,2,1,2,2,1.29
1,4,3,3,2,1,1,1,1,2.79
1,4,4,1,2,1,2,2,1,1.79
1,5,1,2,1,2,1,2,1,0.79
1,5,2,4,2,2,2,1,1,2.29
1,5,3,3,1,1,2,1,1,2.79
1,5,4,2,2,1,1,1,2,1.79
1,6,1,2,1,1,1,1,1,0.79
1,6,2,1,1,1,1,1,1,1.79
1,6,3,4,2,2,2,1,1,1.29
1,6,4,3,2,2,2,2,2,2.79
1,7,1,1,2,1,1,1,1,1.29
1,7,2,2,2,1,1,2,2,2.29
1,7,3,4,2,2,2,1,1,2.79
1,7,4,3,2,2,2,1,1,0.79
1,8,1,3,1,2,2,1,1,1.29
1,8,2,2,2,1,2,2,1,2.29
1,8,3,2,2,2,2,2,1,0.79
1,8,4,4,1,2,2,1,2,1.79
1,9,1,4,2,2,1,1,2,2.79
1,9,2,3,2,2,2,2,1,2.29
1,9,3,2,1,2,1,1,2,1.79
1,9,4,2,2,2,2,2,1,0.79
1,10,1,1,2,2,1,1,2,2.29
1,10,2,4,1,1,1,1,2,1.79
1,10,3,1,1,2,2,2,2,1.29
1,10,4,3,2,2,2,2,2,2.79
1,11,1,1,1,1,2,2,2,1.79
1,11,2,4,2,2,1,2,2,2.29
1,11,3,3,1,1,2,2,2,2.29
1,11,4,1,2,2,2,2,1,2.79
1,12,1,3,1,1,1,1,2,1.79
1,12,2,4,2,1,1,1,2,2.79
1,12,3,1,1,1,1,1,2,2.29
1,12,4,2,1,2,1,1,2,1.29
1,13,1,3,1,2,2,2,2,2.29
1,13,2,4,1,1,2,1,2,1.29
1,13,3,1,1,2,2,2,2,1.79
1,13,4,2,1,1,1,2,1,0.79
1,14,1,4,1,2,2,2,1,2.29
1,14,2,2,2,1,1,2,2,1.29
1,14,3,3,2,1,1,2,1,0.79
1,14,4,1,1,2,1,2,2,2.79
1,15,1,1,1,1,2,2,1,1.79
1,15,2,2,1,2,2,2,1,2.79
1,15,3,4,2,1,1,2,2,0.79
1,15,4,2,1,2,1,2,1,1.29
1,16,1,1,2,1,2,1,2,2.29
1,16,2,3,2,2,1,1,2,1.29
1,16,3,2,1,2,1,1,2,1.79
1,16,4,4,2,1,1,1,2,0.79
2,1,1,1,2,2,2,1,2,0.79
